,NUM_BO,RUBRICA,ANO,MES,CIDADE,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE
360259,943,"Furto qualificado (art. 155, §4o.)",2016,1,S.PAULO                                 ,RUA JOAO MOURA                          ,500,-23.56090125,-46.67731722
213185,992386,Roubo (art. 157),2016,7,S.ANDRE                                 ,RUA MAURITI                             ,60,-23.674311499999998,-46.50456702
134035,1044074,Furto (art. 155),2016,8,S.PAULO                                 ,AVENIDA PRESIDENTE WILSON               ,4800,-23.59424898,-46.58992577
391413,1996,"Drogas sem autorização ou em desacordo (Art.33, caput)",2016,3,S.PAULO                                 ,RUA DARIO VELOSO                        ,130,-23.47774634,-46.74652606
251495,815370,Roubo (art. 157),2016,6,S.PAULO                                 ,RUA MARIO COVAS                         ,0,-23.50511958,-46.36729353
51452,3891,Roubo (art. 157),2016,11,S.PAULO                                 ,RUA REGO FREITAS                        ,100,-23.54264029,-46.64656421
240574,4996,Roubo (art. 157),2016,8,S.ANDRE                                 ,RUA MIQUELINA                           ,510,-23.62116548,-46.52761645
524689,3058,Roubo (art. 157),2016,10,S.BERNARDO DO CAMPO                     ,RUA BATATAIS                            ,95,-23.69115404,-46.54091929
115405,3415,Furto (art. 155),2016,7,OSASCO                                  ,RUA DONÁ PRIMITIVA VIANCO               ,405,-23.53430499,-46.77553956
216111,535259,Furto (art. 155),2016,4,S.ANDRE                                 ,RUA ALMIRANTE TAMANDARÉ                 ,0,-23.65998257,-46.53182264
674949,4527,Furto (art. 155),2016,10,S.PAULO                                 ,RUA TAUBATE                             ,1230,-23.55652209,-46.53372777
644832,1272457,Furto (art. 155),2016,10,S.PAULO                                 ,RUA JURUBIM                             ,300,-23.48521492,-46.74834138
163378,1127,Roubo (art. 157),2016,8,FERRAZ DE VASCONCELOS                   ,RUA DAS ROSAS                           ,107,-23.52842006,-46.36760888
20115,916575,Furto (art. 155),2016,7,S.PAULO                                 ,RUA ARTUR DE AZEVEDO                    ,986,-23.56222908,-46.68100779
104096,2410,Roubo (art. 157),2016,8,MAIRIPORA                               ,RUA PADRE WAIRO                         ,0,-23.31925941,-46.58703472
