,id_ocorrencia,conduta,natureza_lesao,tipo_crime,uf,municipio,endereco,logradouro_sede,geolocalizacao,latitude,longitude
0,2,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Impedir ou cercear o direito de reunião,RIO DE JANEIRO,Rio de Janeiro,Câmara Municipal,Câmara Municipal,0101000020E6100000E013EB54F91546C0DC847B65DE8A36C0,-22.542456,-44.1716715
1,2,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,RIO DE JANEIRO,Rio de Janeiro,Câmara Municipal,Câmara Municipal,0101000020E6100000E013EB54F91546C0DC847B65DE8A36C0,-22.542456,-44.1716715
2,4,Operação policial - Repressão a manifestação,Crimes de lesão corporal (CP),Lesão corporal grave,DISTRITO FEDERAL,Brasília,Esplanada dos Ministérios,Esplanada dos Ministérios,0101000020E6100000EC53E98255EF47C0B71F95078E982FC0,-15.7979586,-47.8697971
3,4,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Impedir ou cercear o direito de reunião,DISTRITO FEDERAL,Brasília,Esplanada dos Ministérios,Esplanada dos Ministérios,0101000020E6100000EC53E98255EF47C0B71F95078E982FC0,-15.7979586,-47.8697971
4,4,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,DISTRITO FEDERAL,Brasília,Esplanada dos Ministérios,Esplanada dos Ministérios,0101000020E6100000EC53E98255EF47C0B71F95078E982FC0,-15.7979586,-47.8697971
5,7,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Impedir ou cercear o direito de reunião,PARANÁ,Curitiba,Teatro Ópera de Arame,Teatro Ópera de Arame,0101000020E6100000C88FBF0659A348C078E805E9736239C0,-25.384581150000002,-49.276154368911705
6,7,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,PARANÁ,Curitiba,Teatro Ópera de Arame,Teatro Ópera de Arame,0101000020E6100000C88FBF0659A348C078E805E9736239C0,-25.384581150000002,-49.276154368911705
7,7,Operação policial - Repressão a manifestação,Crimes de lesão corporal (CP),Lesão corporal grave,PARANÁ,Curitiba,Teatro Ópera de Arame,Teatro Ópera de Arame,0101000020E6100000C88FBF0659A348C078E805E9736239C0,-25.384581150000002,-49.276154368911705
8,7,Operação policial - Repressão a manifestação,Crimes de lesão corporal (CP),Lesão corporal indeterminada,PARANÁ,Curitiba,Teatro Ópera de Arame,Teatro Ópera de Arame,0101000020E6100000C88FBF0659A348C078E805E9736239C0,-25.384581150000002,-49.276154368911705
9,12,Abordagem policial,Crimes contra a honra (CP),Injúria simples,SÃO PAULO,São Paulo,Rua da Consolação,Rua da Consolação,0101000020E6100000CF51A280485247C0F2DFCD64498C37C0,-23.5479949,-46.6428376
10,12,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Violação da liberdade de locomoção,SÃO PAULO,São Paulo,Rua da Consolação,Rua da Consolação,0101000020E6100000CF51A280485247C0F2DFCD64498C37C0,-23.5479949,-46.6428376
11,12,Abordagem policial,Crimes contra a liberdade pessoal (CP),Ameaça,SÃO PAULO,São Paulo,Rua da Consolação,Rua da Consolação,0101000020E6100000CF51A280485247C0F2DFCD64498C37C0,-23.5479949,-46.6428376
12,12,Abordagem policial,Crimes contra a liberdade sexual (CP),Assédio sexual,SÃO PAULO,São Paulo,Rua da Consolação,Rua da Consolação,0101000020E6100000CF51A280485247C0F2DFCD64498C37C0,-23.5479949,-46.6428376
13,12,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Encarceramento de forma ilegal ou com abuso de poder,SÃO PAULO,São Paulo,Rua da Consolação,Rua da Consolação,0101000020E6100000CF51A280485247C0F2DFCD64498C37C0,-23.5479949,-46.6428376
14,12,Abordagem policial,Crimes de lesão corporal (CP),Lesão corporal indeterminada,SÃO PAULO,São Paulo,Rua da Consolação,Rua da Consolação,0101000020E6100000CF51A280485247C0F2DFCD64498C37C0,-23.5479949,-46.6428376
15,18,Abordagem policial,Crimes contra a vida (CP),Homicídio qualificado,GOIAS,Goiânia,,,0101000020E61000002ECB321F6BA048C0616F62484EAE30C0,-16.680882,-49.2532691
16,18,Abordagem policial,Crimes contra a administração da justiça (CP),Fraude processual,GOIAS,Goiânia,,,0101000020E61000002ECB321F6BA048C0616F62484EAE30C0,-16.680882,-49.2532691
17,21,Abordagem policial,Crimes contra a liberdade pessoal (CP),Ameaça,SÃO PAULO,Sarapuí,Zona Rural,zona rural ,0101000020E610000019575C1C95E947C06BF12900C6A337C0,-23.63974,-47.824863
18,21,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ofensa à honra ou ao patrimônio,SÃO PAULO,Sarapuí,Zona Rural,zona rural ,0101000020E610000019575C1C95E947C06BF12900C6A337C0,-23.63974,-47.824863
19,21,Abordagem policial,Crimes de lesão corporal (CP),Lesão corporal leve,SÃO PAULO,Sarapuí,Zona Rural,zona rural ,0101000020E610000019575C1C95E947C06BF12900C6A337C0,-23.63974,-47.824863
20,22,Operação policial - Repressão a manifestação,Crimes contra a liberdade pessoal (CP),Ameaça,SÃO PAULO,São Paulo,Avenida Paulista,Avenida Paulista,0101000020E6100000FAC4F0C7A35447C0B85C5892978E37C0,-23.5570003,-46.6612482
21,22,Operação policial - Repressão a manifestação,Crimes contra a honra (CP),Injúria racial ou qualificada,SÃO PAULO,São Paulo,Avenida Paulista,Avenida Paulista,0101000020E6100000FAC4F0C7A35447C0B85C5892978E37C0,-23.5570003,-46.6612482
22,24,Operação policial,Crimes contra a vida (CP),Homicídio qualificado,SÃO PAULO,Itu,Jardim Vitória,Jardim Vitória,0101000020E6100000FC15D79D935F47C0A5CCBC0B4A5937C0,-23.3487861,-46.7466924
23,24,Operação policial,Crimes de abuso de autoridade (Lei 4.898/1965),Violação de domicilio,SÃO PAULO,Itu,Jardim Vitória,Jardim Vitória,0101000020E6100000FC15D79D935F47C0A5CCBC0B4A5937C0,-23.3487861,-46.7466924
24,24,Operação policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,SÃO PAULO,Itu,Jardim Vitória,Jardim Vitória,0101000020E6100000FC15D79D935F47C0A5CCBC0B4A5937C0,-23.3487861,-46.7466924
25,25,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Impedir ou cercear o direito de reunião,SÃO PAULO,São Paulo,Favela do Moinho,Favela do Moinho,0101000020E6100000179FDF6ED25247C03C6DE8C1388737C0,-23.5282098,-46.64704690855995
26,25,Operação policial,Crimes contra a administração da justiça (CP),Fraude processual,SÃO PAULO,São Paulo,Favela do Moinho,Favela do Moinho,0101000020E6100000179FDF6ED25247C03C6DE8C1388737C0,-23.5282098,-46.64704690855995
